sent1,sent2,label,strategy,sent1_emoji,sent1_emoji_unicode,extracted
This is sparkler [EM] crystal_ball.,This is bright future.,1,0,This is 🎇 🔮,This is {1F387} {1F52E},"sparkler, crystal_ball"
This is bright_button [EM] crystal_ball.,This is bright future.,1,0,This is 🔆 🔮,This is {1F506} {1F52E},"bright_button, crystal_ball"
This is glowing_star [EM] graduation_cap.,This is bright future.,1,1,This is 🌟 🎓,This is {1F31F} {1F393},"glowing_star, graduation_cap"
This is smiling_face_with_sunglasses [EM] man_scientist [EM] woman_health_worker [EM] technologist.,This is bright future.,1,2,This is 😎 👨‍🔬 👩‍⚕ 🧑‍💻,This is {1F60E} {1F468 + 200D + 1F52C} {1F469 + 200D + 2695} {1F9D1 + 200D + 1F4BB},"smiling_face_with_sunglasses, man_scientist, woman_health_worker, technologist"
This is sun [EM] crystal_ball.,This is bright future.,1,0,This is ☀ 🔮,This is {2600} {1F52E},"sun, crystal_ball"
This is man_scientist [EM] woman_student [EM] man_health_worker.,This is bright future.,1,2,This is 👨‍🔬 👩‍🎓 👨‍⚕,This is {1F468 + 200D + 1F52C} {1F469 + 200D + 1F393} {1F468 + 200D + 2695},"man_scientist, woman_student, man_health_worker"
This is sun [EM] fog.,This is bright future.,1,0,This is ☀ 🌫,This is {2600} {1F32B},"sun, fog"
This is hourglass_not_done [EM] fast-forward_button [EM] thumbs_up [EM] thumbs_up.,This is bright future.,1,1,This is ⏳ ⏩ 👍 👍,This is {23F3} {23E9} {1F44D} {1F44D},"hourglass_not_done, fast-forward_button, thumbs_up, thumbs_up"
This is sparkler [EM] sun.,This is bright sun.,1,0,This is 🎇 ☀,This is {1F387} {2600},"sparkler, sun"
This is bright_button [EM] sun.,This is bright sun.,1,0,This is 🔆 ☀,This is {1F506} {2600},"bright_button, sun"
