unicode,label
1F387,sparkler
1F52E,crystal_ball
1F506,bright_button
1F52E,crystal_ball
1F31F,glowing_star
1F393,graduation_cap
1F60E,smiling_face_with_sunglasses
1F468 + 200D + 1F52C,man_scientist
1F469 + 200D + 2695,woman_health_worker
1F9D1 + 200D + 1F4BB,technologist
2600,sun
1F52E,crystal_ball
1F468 + 200D + 1F52C,man_scientist
1F469 + 200D + 1F393,woman_student
1F468 + 200D + 2695,man_health_worker
2600,sun
1F32B,fog
23F3,hourglass_not_done
23E9,fast-forward_button
1F44D,thumbs_up
1F44D,thumbs_up
1F387,sparkler
2600,sun
1F506,bright_button
2600,sun
1F31F,glowing_star
1F324,sun_behind_small_cloud
1F307,sunset
1F305,sunrise
2600,sun
1F506,bright_button
2728,sparkles
2600,sun
2600,sun
1F31F,glowing_star
2600,sun
2600,sun
2600,sun
2600,sun
1F387,sparkler
1F457,dress
1F506,bright_button
1F457,dress
2728,sparkles
1F457,dress
1F506,bright_button
1F457,dress
1F483,woman_dancing
2600,sun
1F3A8,artist_palette
1F457,dress
1F457,dress
2728,sparkles
2600,sun
1F457,dress
1F457,dress
2728,sparkles
1F387,sparkler
1F3EB,school
1F506,bright_button
1F6B9,men’s_room
1F6BA,women’s_room
2728,sparkles
1F3E0,house
1F4A1,light_bulb
1F56F,candle
1F3E0,house
2600,sun
1F3EB,school
1F4A1,light_bulb
1F492,wedding
2600,
2600,sun
1F3EB,school
1F576,sunglasses
1F574,person_in_suit_levitating
26AB,black_circle
1F465,busts_in_silhouette
1F576,sunglasses
1F576,sunglasses
1F464,bust_in_silhouette
274C,cross_mark
1F4A1,light_bulb
1F9CD,person_standing
1F311,new_moon
1F464,bust_in_silhouette
1F311,
1F31A,
1F311,new_moon
1F6B9,men’s_room
1F576,sunglasses
1F305,sunrise
26AB,black_circle
1F4C6,tear-off_calendar
1F32A,tornado
1F32B,fog
1F32B,fog
26C8,cloud_with_lightning_and_rain
1F32B,fog
1F311,new_moon
1F311,new_moon
1F4C6,tear-off_calendar
1F608,smiling_face_with_horns
1F463,footprints
1F311,
1F311,new_moon
1F303,night_with_stars
1F576,sunglasses
1F95B,glass_of_milk
26AB,black_circle
1F95B,glass_of_milk
1F576,sunglasses
1F576,sunglasses
1F576,
1F311,new_moon
1F377,wine_glass
1F47F,
1F303,
1F576,
1F576,sunglasses
1F30A,water_wave
26AB,black_circle
1F30A,water_wave
26AB,black_circle
