sent1,sent2,label,strategy,sent1_emoji,sent1_emoji_unicode
This is sparkler [EM] crystal_ball.,This is bright future.,1,0,This is 🎇 🔮,This is {1F387} {1F52E}
This is bright_button [EM] crystal_ball.,This is bright future.,1,0,This is 🔆 🔮,This is {1F506} {1F52E}
This is glowing_star [EM] graduation_cap.,This is bright future.,1,1,This is 🌟 🎓,This is {1F31F} {1F393}
This is smiling_face_with_sunglasses [EM] man_scientist [EM] woman_health_worker [EM] technologist.,This is bright future.,1,2,This is 😎 👨‍🔬 👩‍⚕ 🧑‍💻,This is {1F60E} {1F468 + 200D + 1F52C} {1F469 + 200D + 2695} {1F9D1 + 200D + 1F4BB}
This is sun [EM] crystal_ball.,This is bright future.,1,0,This is ☀ 🔮,This is {2600} {1F52E}
This is man_scientist [EM] woman_student [EM] man_health_worker.,This is bright future.,1,2,This is 👨‍🔬 👩‍🎓 👨‍⚕,This is {1F468 + 200D + 1F52C} {1F469 + 200D + 1F393} {1F468 + 200D + 2695}
This is sun [EM] fog.,This is bright future.,1,0,This is ☀ 🌫,This is {2600} {1F32B}
This is hourglass_not_done [EM] fast-forward_button [EM] thumbs_up [EM] thumbs_up.,This is bright future.,1,1,This is ⏳ ⏩ 👍 👍,This is {23F3} {23E9} {1F44D} {1F44D}
This is sparkler [EM] sun.,This is bright sun.,1,0,This is 🎇 ☀,This is {1F387} {2600}
This is bright_button [EM] sun.,This is bright sun.,1,0,This is 🔆 ☀,This is {1F506} {2600}
This is glowing_star [EM] sun_behind_small_cloud [EM] sunset [EM] sunrise.,This is bright sun.,1,2,This is 🌟 🌤 🌇 🌅,This is {1F31F} {1F324} {1F307} {1F305}
This is sun [EM] bright_button.,This is bright sun.,1,0,This is ☀ 🔆,This is {2600} {1F506}
This is sparkles [EM] sun.,This is bright sun.,1,0,This is ✨ ☀,This is {2728} {2600}
This is sun [EM] glowing_star.,This is bright sun.,1,0,This is ☀ 🌟,This is {2600} {1F31F}
This is sun [EM] sun.,This is bright sun.,1,3,This is ☀ ☀,This is {2600} {2600}
This is sun [EM] sun.,This is bright sun.,1,3,This is ☀ ☀,This is {2600} {2600}
This is sparkler [EM] dress.,This is bright dress.,1,0,This is 🎇 👗,This is {1F387} {1F457}
This is bright_button [EM] dress.,This is bright dress.,1,0,This is 🔆 👗,This is {1F506} {1F457}
This is sparkles [EM] dress.,This is bright dress.,1,0,This is ✨ 👗,This is {2728} {1F457}
This is bright_button [EM] dress [EM] woman_dancing.,This is bright dress.,1,0,This is 🔆 👗 💃,This is {1F506} {1F457} {1F483}
This is sun [EM] artist_palette [EM] dress.,This is bright dress.,1,0,This is ☀ 🎨 👗,This is {2600} {1F3A8} {1F457}
This is dress [EM] sparkles.,This is bright dress.,1,0,This is 👗 ✨,This is {1F457} {2728}
This is sun [EM] dress.,This is bright dress.,1,0,This is ☀ 👗,This is {2600} {1F457}
This is dress [EM] sparkles.,This is bright dress.,1,0,This is 👗 ✨,This is {1F457} {2728}
This is sparkler [EM] school.,This is bright room.,1,0,This is 🎇 🏫,This is {1F387} {1F3EB}
This is bright_button [EM] men’s_room [EM] women’s_room.,This is bright room.,1,0,This is 🔆 🚹 🚺,This is {1F506} {1F6B9} {1F6BA}
This is sparkles [EM] house.,This is bright room.,1,0,This is ✨ 🏠,This is {2728} {1F3E0}
This is light_bulb [EM] candle [EM] house.,This is bright room.,1,0,This is 💡 🕯 🏠,This is {1F4A1} {1F56F} {1F3E0}
This is sun [EM] school.,This is bright room.,1,0,This is ☀ 🏫,This is {2600} {1F3EB}
This is light_bulb [EM] wedding.,This is bright room.,1,0,This is 💡 💒,This is {1F4A1} {1F492}
This is sun.,This is bright room.,1,4,This is ☀,This is {2600}
This is sun [EM] school.,This is bright room.,1,0,This is ☀ 🏫,This is {2600} {1F3EB}
This is sunglasses [EM] person_in_suit_levitating.,This is dark shadow.,1,1,This is 🕶 🕴,This is {1F576} {1F574}
This is black_circle [EM] busts_in_silhouette.,This is dark shadow.,1,1,This is ⚫ 👥,This is {26AB} {1F465}
This is sunglasses [EM] sunglasses [EM] bust_in_silhouette.,This is dark shadow.,1,1,This is 🕶 🕶 👤,This is {1F576} {1F576} {1F464}
This is cross_mark [EM] light_bulb [EM] person_standing.,This is dark shadow.,1,1,This is ❌ 💡 🧍,This is {274C} {1F4A1} {1F9CD}
This is new_moon [EM] bust_in_silhouette.,This is dark shadow.,1,1,This is 🌑 👤,This is {1F311} {1F464}
This is new_moon.,This is dark shadow.,1,4,This is 🌑,This is {1F311}
This is new_moon_face.,This is dark shadow.,1,4,This is 🌚,This is {1F31A}
This is new_moon [EM] men’s_room.,This is dark shadow.,1,1,This is 🌑 🚹,This is {1F311} {1F6B9}
This is sunglasses [EM] sunrise.,This is dark day.,1,0,This is 🕶 🌅,This is {1F576} {1F305}
This is black_circle [EM] tear-off_calendar.,This is dark day.,1,0,This is ⚫ 📆,This is {26AB} {1F4C6}
This is tornado [EM] fog [EM] fog.,This is dark day.,1,1,This is 🌪 🌫 🌫,This is {1F32A} {1F32B} {1F32B}
This is cloud_with_lightning_and_rain [EM] fog [EM] new_moon.,This is dark day.,1,1,This is ⛈ 🌫 🌑,This is {26C8} {1F32B} {1F311}
This is new_moon [EM] tear-off_calendar.,This is dark day.,1,0,This is 🌑 📆,This is {1F311} {1F4C6}
This is smiling_face_with_horns [EM] footprints.,This is dark day.,1,1,This is 😈 👣,This is {1F608} {1F463}
This is new_moon.,This is dark day.,1,4,This is 🌑,This is {1F311}
This is new_moon [EM] night_with_stars.,This is dark day.,1,0,This is 🌑 🌃,This is {1F311} {1F303}
This is sunglasses [EM] glass_of_milk.,This is dark glass.,1,0,This is 🕶 🥛,This is {1F576} {1F95B}
This is black_circle [EM] glass_of_milk.,This is dark glass.,1,0,This is ⚫ 🥛,This is {26AB} {1F95B}
